"Code","Libelle","Application","Categorie","Sensible","InterditPrestataire"
"SOC-MSG","Messagerie — boîte aux lettres","Messagerie","Socle","0","0"
"SOC-INTRA","Intranet — lecture","Intranet","Socle","0","0"
"SOC-DOC","Espace documentaire commun","Documentaire","Socle","0","0"
"SOC-VPN","Accès distant VPN","Réseau","Socle","0","0"
"SITE-BADGE-PAR","Badge — site de Paris","Contrôle d'accès","Site","0","0"
"SITE-BADGE-MTZ","Badge — site de Metz","Contrôle d'accès","Site","0","0"
"SITE-BADGE-LYO","Badge — site de Lyon","Contrôle d'accès","Site","0","0"
"SITE-IMP-PAR","Impression — site de Paris","Impression","Site","0","0"
"SITE-IMP-MTZ","Impression — site de Metz","Impression","Site","0","0"
"SITE-IMP-LYO","Impression — site de Lyon","Impression","Site","0","0"
"SITE-WIFI-PAR","Wi-Fi interne — Paris","Réseau","Site","0","0"
"SITE-WIFI-MTZ","Wi-Fi interne — Metz","Réseau","Site","0","0"
"SITE-WIFI-LYO","Wi-Fi interne — Lyon","Réseau","Site","0","0"
"FCT-CONGES","Congés — self-service","SIRH","Fonction","0","1"
"FCT-FORM","Formation — catalogue et inscription","SIRH","Fonction","0","1"
"FCT-NDF","Notes de frais — saisie","Frais","Fonction","0","0"
"FCT-NDF-VALID","Notes de frais — validation","Frais","Fonction","0","1"
"FCT-TEMPS","Suivi des temps — saisie","Temps","Fonction","0","0"
"FCT-ENTRETIEN","Entretiens annuels — encadrant","SIRH","Fonction","0","1"
"FCT-ORG","Organigramme — vue étendue","Intranet","Fonction","0","0"
"CRM-LEC","CRM — lecture","CRM","Métier","0","0"
"CRM-SAISIE","CRM — saisie","CRM","Métier","0","0"
"CRM-PILOT","CRM — tableaux de bord","CRM","Métier","0","0"
"CRM-SEGMENT","CRM — segmentation","CRM","Métier","0","0"
"CRM-EXPORT","CRM — export de la base clients","CRM","Sensible","1","1"
"CRM-ADMIN","CRM — administration","CRM","Sensible","1","1"
"DEVIS-CREA","Devis — création","Devis","Métier","0","0"
"DEVIS-VALID","Devis — validation","Devis","Métier","0","1"
"TARIF-CONSULT","Grille tarifaire — consultation","Devis","Métier","0","0"
"TARIF-REMISE","Grille tarifaire — remises","Devis","Sensible","1","1"
"MARGE-CONSULT","Marges — consultation","Pilotage","Sensible","1","1"
"PROSPECT-BASE","Base prospects","CRM","Métier","0","0"
"MISSION-PORT","Portail des missions","Conseil","Métier","0","0"
"DOC-METHODO","Référentiel méthodologique","Documentaire","Métier","0","0"
"LIVRABLE-CLI","Espace livrables client","Documentaire","Métier","0","0"
"PM-OUTIL","Gestion de projet — planification","Projet","Métier","0","0"
"PM-BUDGET","Gestion de projet — budget","Projet","Métier","0","1"
"DOC-PROJET","Référentiel documentaire projet","Documentaire","Métier","0","0"
"RISQUE-REG","Registre des risques","Projet","Métier","0","0"
"CMS-REDAC","CMS — rédaction","CMS","Métier","0","0"
"CMS-PUBLI","CMS — publication","CMS","Métier","0","0"
"MEDIATHEQUE","Médiathèque","CMS","Métier","0","0"
"PAO","Chaîne graphique PAO","PAO","Métier","0","0"
"MARQUE-CHARTE","Charte de marque","Documentaire","Métier","0","0"
"CAMPAGNE","Campagnes marketing","Marketing","Métier","0","0"
"MEDIA-PLAN","Planification média","Marketing","Métier","0","0"
"RESEAUX-SOC","Comptes réseaux sociaux","Marketing","Sensible","1","1"
"GMAO","GMAO — maintenance","GMAO","Métier","0","0"
"SUPERVISION","Supervision atelier","GMAO","Métier","0","0"
"PLM-PLANS","PLM — plans et nomenclatures","PLM","Métier","0","0"
"PLM-VALID","PLM — validation des plans","PLM","Métier","0","1"
